tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,39.81758499104936,82.12357045851664,82.09124750488755,0.4594247078029964,0.4666483667307164
LRG,0.4,0.5,22137,24.335980480862673,23.245699294907663,52.509883424428224,51.77513293450271,0.3613859149839635,0.38848985860776075
LRG,0.5,0.6,29570,29.229831392563774,27.879739508714707,57.16405321824444,56.32513570796932,0.5444707473791005,0.5546161650321272
LRG,0.6,0.7,35593,34.57728035903761,33.27174519029304,67.13101230523208,66.3260615091127,0.42705026269210233,0.4101930154805721
LRG,0.7,0.8,40449,44.156136923552545,42.164181176914205,82.25071127713646,81.48978943262438,0.5661450221266285,0.5117555440183935
LRG,0.8,0.9,40561,53.82276844986485,51.727817402207975,96.56948359218644,95.81709196136072,0.3426937205690195,0.305712383816967
LRG,0.9,1.0,27244,58.66946806531565,56.53962979202265,104.482024921232,105.92004587063721,0.5102040816326531,0.48451035090295114
LRG,1.0,1.1,12097,59.792368655924555,58.169787355071165,104.8669943217438,106.71419804344745,0.4463916673555427,0.4629246920724146
ELG,0.8,1.6,481085,8.583098001460657,8.431719106418491,28.15987829202078,27.752521354158485,0.23072845754908175,0.2251161437168068
ELG,0.8,0.9,72185,5.219015524049012,5.0516464235254785,17.09343458798413,17.093746425946232,0.09974371406801967,0.09281706725774053
ELG,0.9,1.0,84756,6.5792987501212155,6.372769555160036,20.17829195035636,20.018836444744878,0.12506489216102695,0.12152531974137523
ELG,1.0,1.1,72966,9.137208213514405,8.858681049960717,25.638016099478303,25.705026278104548,0.17816517282021763,0.1685716635145136
ELG,1.1,1.2,65846,8.873318223711873,8.585341808572249,25.241630136704348,25.07426954242718,0.17616863590802784,0.16401907481092245
ELG,1.2,1.3,59131,9.121208757753719,8.778084464878923,25.989851599690322,25.88046493557484,0.18940995416955572,0.1691160305085319
ELG,1.3,1.4,53176,11.113066664355998,10.725692546430059,34.086725308799636,33.52341533529573,0.5679253798706183,0.5359560704077027
ELG,1.4,1.5,45730,11.08296303065655,10.67497799255344,34.109197560380586,33.705565233963505,0.35425322545375026,0.32145200087469933
ELG,1.5,1.6,27295,20.339692176216378,19.557774823636386,54.58643028642996,55.37372816242477,0.40300421322586555,0.3883495145631068
QSO,0.8,2.1,252633,90.96354368041621,88.95239470647408,471.2414468029257,471.05779706837643,0.6056215933785372,0.6032466067378371
QSO,0.8,0.9,9416,16.258851701553642,15.508983752864399,149.2017653246121,146.66116335771443,1.4762107051826678,1.6355140186915886
QSO,0.9,1.0,11381,26.719198212686095,25.70796201027347,247.64447608558768,278.4397466372896,1.2476935242948775,1.2740532466391352
QSO,1.0,1.1,13868,49.2445270019101,46.883472842122934,262.30626816772633,259.39519445480846,0.7859821171041247,0.8364580328814536
QSO,1.1,1.2,16694,47.57423579180026,45.07119338743687,253.38522511342546,288.57938929102534,0.6349586677848329,0.5630765544507008
QSO,1.2,1.3,17523,49.71153148146465,46.70585920337989,288.33635204200584,299.7362568698586,0.7647092392855105,0.7361753124464989
QSO,1.3,1.4,18232,59.40063349336373,56.29431869015552,414.7572906531888,401.70693732445744,0.4552435278630978,0.4168494953927161
QSO,1.4,1.5,19090,93.8458741785111,88.46119021197802,421.7680115421099,416.85605383811173,0.9114719748559456,0.8957569408067051
QSO,1.5,1.6,20042,140.8241800589832,132.80806422682792,497.86097367409997,521.603808436677,0.818281608621894,0.7833549545953498
QSO,1.6,1.7,25251,171.50111813964577,164.80220956327744,567.4576649577082,574.6273450905827,0.45938774701992,0.4673082254168152
QSO,1.7,1.8,25317,168.24366372799244,161.50271279624602,597.7713910982126,615.0444921626131,0.40289133783623654,0.38709167752893314
QSO,1.8,1.9,24265,155.78360897639502,149.40332451851282,580.7475025102048,589.9417057883915,0.3544199464248918,0.33793529775396663
QSO,1.9,2.0,22307,128.44496968936713,122.34599845864109,488.41979194876944,496.09563657143946,0.35414892186309227,0.34966602411798986
QSO,2.0,2.1,29247,119.67548825410172,112.66024743952534,568.8717418505873,569.4816945190223,0.32823879372243303,0.34191541012753446
