tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,40.41102135642734,82.12357045851664,82.17009510900668,0.4594247078029964,0.4623141713740844
LRG,0.4,0.5,22137,24.335980480862673,24.41875568479437,52.509883424428224,52.273527619787316,0.3613859149839635,0.3387992952974658
LRG,0.5,0.6,29570,29.229831392563774,29.37307124387797,57.16405321824444,56.46488549186048,0.5444707473791005,0.5444707473791005
LRG,0.6,0.7,35593,34.57728035903761,34.7734025106929,67.13101230523208,66.57892661029558,0.42705026269210233,0.47200292192285
LRG,0.7,0.8,40449,44.156136923552545,44.363278433013924,82.25071127713646,81.68870357518539,0.5661450221266285,0.6155900022250241
LRG,0.8,0.9,40561,53.82276844986485,53.89287164578673,96.56948359218644,96.7052078248764,0.3426937205690195,0.3599516777199773
LRG,0.9,1.0,27244,58.66946806531565,58.799451527468335,104.482024921232,103.64983406967099,0.5102040816326531,0.4881808838643371
LRG,1.0,1.1,12097,59.792368655924555,60.24045822969597,104.8669943217438,103.76537410162494,0.4463916673555427,0.38025956848805487
ELG,0.8,1.6,481085,8.583098001460657,8.529970316341995,28.15987829202078,28.010808897149705,0.23072845754908175,0.21825664903291517
ELG,0.8,0.9,72185,5.219015524049012,5.185174851559632,17.09343458798413,17.37361500964721,0.09974371406801967,0.08727574980951722
ELG,0.9,1.0,84756,6.5792987501212155,6.554953316115705,20.17829195035636,20.30950769966119,0.12506489216102695,0.1168058898485063
ELG,1.0,1.1,72966,9.137208213514405,9.081025897686143,25.638016099478303,25.695685669413994,0.17816517282021763,0.1699421648438999
ELG,1.1,1.2,65846,8.873318223711873,8.82181318242106,25.241630136704348,25.450689209569056,0.17616863590802784,0.16553776994806063
ELG,1.2,1.3,59131,9.121208757753719,9.062921916451664,25.989851599690322,26.443100288867416,0.18940995416955572,0.17080719081361723
ELG,1.3,1.4,53176,11.113066664355998,11.051098565180551,34.086725308799636,34.0298546278178,0.5679253798706183,0.5923724988716714
ELG,1.4,1.5,45730,11.08296303065655,11.099745541576166,34.109197560380586,34.72048736152889,0.35425322545375026,0.36300021867483057
ELG,1.5,1.6,27295,20.339692176216378,20.47673982443431,54.58643028642996,54.09480989291607,0.40300421322586555,0.3663674665689687
QSO,0.8,2.1,252633,90.96354368041621,90.47153207668278,471.2414468029257,469.22221353615555,0.6056215933785372,0.6095799044463709
QSO,0.8,0.9,9416,16.258851701553642,16.63421357333423,149.2017653246121,122.71417556374031,1.4762107051826678,1.433729821580289
QSO,0.9,1.0,11381,26.719198212686095,26.84867345144707,247.64447608558768,254.6285476074569,1.2476935242948775,1.1422546349178455
QSO,1.0,1.1,13868,49.2445270019101,49.57035758729377,262.30626816772633,250.7158384356675,0.7859821171041247,0.6922411306605134
QSO,1.1,1.2,16694,47.57423579180026,47.80708647085413,253.38522511342546,246.24588770930538,0.6349586677848329,0.6050077872289445
QSO,1.2,1.3,17523,49.71153148146465,49.863714175128905,288.33635204200584,272.8772591214417,0.7647092392855105,0.6962278148718827
QSO,1.3,1.4,18232,59.40063349336373,59.92906879167137,414.7572906531888,389.0605712620831,0.4552435278630978,0.42233435717419926
QSO,1.4,1.5,19090,93.8458741785111,94.95194718845667,421.7680115421099,392.109904491925,0.9114719748559456,0.822420115243583
QSO,1.5,1.6,20042,140.8241800589832,141.28446633936193,497.86097367409997,485.1547386885082,0.818281608621894,0.7584073445763896
QSO,1.6,1.7,25251,171.50111813964577,172.49425090607974,567.4576649577082,561.223979433286,0.45938774701992,0.43562631182923445
QSO,1.7,1.8,25317,168.24366372799244,169.36665859721091,597.7713910982126,591.3811162958233,0.40289133783623654,0.38314176245210724
QSO,1.8,1.9,24265,155.78360897639502,157.31317548459123,580.7475025102048,572.826252905581,0.3544199464248918,0.3132083247475788
QSO,1.9,2.0,22307,128.44496968936713,129.14434161491963,488.41979194876944,475.98692781388104,0.35414892186309227,0.3182857399022728
QSO,2.0,2.1,29247,119.67548825410172,120.09447026085103,568.8717418505873,562.3567042047122,0.32823879372243303,0.32823879372243303
