tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,39.62130248128779,82.12357045851664,82.08845358149514,0.4594247078029964,0.4642404804214764
LRG,0.4,0.5,22137,24.335980480862673,23.55831350121044,52.509883424428224,52.603674138522834,0.3613859149839635,0.3387992952974658
LRG,0.5,0.6,29570,29.229831392563774,28.361662684683594,57.16405321824444,57.11454445013316,0.5444707473791005,0.5478525532634426
LRG,0.6,0.7,35593,34.57728035903761,33.76018920208238,67.13101230523208,67.22023806993468,0.42705026269210233,0.47200292192285
LRG,0.7,0.8,40449,44.156136923552545,42.80446500402141,82.25071127713646,82.19957702252535,0.5661450221266285,0.618062251229944
LRG,0.8,0.9,40561,53.82276844986485,52.36006188468527,96.56948359218644,97.42228172834223,0.3426937205690195,0.3599516777199773
LRG,0.9,1.0,27244,58.66946806531565,57.06900593682218,104.482024921232,104.36346898924222,0.5102040816326531,0.4955219497871091
LRG,1.0,1.1,12097,59.792368655924555,58.301320402751834,104.8669943217438,105.2982168073927,0.4463916673555427,0.3885260808464909
ELG,0.8,1.6,481085,8.583098001460657,8.40041046349568,28.15987829202078,28.034736589230416,0.23072845754908175,0.21825664903291517
ELG,0.8,0.9,72185,5.219015524049012,5.057914406227019,17.09343458798413,17.268162497016828,0.09974371406801967,0.09004640853362887
ELG,0.9,1.0,84756,6.5792987501212155,6.397008445624424,20.17829195035636,20.366102118490936,0.12506489216102695,0.11798574732172354
ELG,1.0,1.1,72966,9.137208213514405,8.874079548531553,25.638016099478303,25.856622646319526,0.17816517282021763,0.1699421648438999
ELG,1.1,1.2,65846,8.873318223711873,8.614738086760891,25.241630136704348,25.547002385847172,0.17616863590802784,0.1670564650851988
ELG,1.2,1.3,59131,9.121208757753719,8.824923646664795,25.989851599690322,26.449913710819086,0.18940995416955572,0.17418951142378786
ELG,1.3,1.4,53176,11.113066664355998,10.740973161534399,34.086725308799636,34.02869758009322,0.5679253798706183,0.5961335941026027
ELG,1.4,1.5,45730,11.08296303065655,10.817267834765126,34.109197560380586,34.842751715286774,0.35425322545375026,0.36518696698010056
ELG,1.5,1.6,27295,20.339692176216378,19.80988909739609,54.58643028642996,55.18030587185856,0.40300421322586555,0.3663674665689687
QSO,0.8,2.1,252633,90.96354368041621,88.4931785514625,471.2414468029257,471.8098976776075,0.6056215933785372,0.6079965800192374
QSO,0.8,0.9,9416,16.258851701553642,15.70957391877291,149.2017653246121,145.14395778185042,1.4762107051826678,1.433729821580289
QSO,0.9,1.0,11381,26.719198212686095,25.487100730785535,247.64447608558768,244.8998234089881,1.2476935242948775,1.159827783147351
QSO,1.0,1.1,13868,49.2445270019101,47.45666493026476,262.30626816772633,258.58573400390844,0.7859821171041247,0.6922411306605134
QSO,1.1,1.2,16694,47.57423579180026,46.03802637619384,253.38522511342546,255.46757082438998,0.6349586677848329,0.6050077872289445
QSO,1.2,1.3,17523,49.71153148146465,47.838253490991754,288.33635204200584,286.94252442396305,0.7647092392855105,0.6905210295040803
QSO,1.3,1.4,18232,59.40063349336373,57.67856517895296,414.7572906531888,402.35544990646054,0.4552435278630978,0.411364633611233
QSO,1.4,1.5,19090,93.8458741785111,90.77169881716188,421.7680115421099,417.3192449690996,0.9114719748559456,0.8067050811943427
QSO,1.5,1.6,20042,140.8241800589832,136.16584672563334,497.86097367409997,498.8175258584203,0.818281608621894,0.7534178225725975
QSO,1.6,1.7,25251,171.50111813964577,167.12903074089752,567.4576649577082,562.3745132319755,0.45938774701992,0.44354679022612964
QSO,1.7,1.8,25317,168.24366372799244,164.0874652516406,597.7713910982126,599.1566143159637,0.40289133783623654,0.38709167752893314
QSO,1.8,1.9,24265,155.78360897639502,152.52197697067965,580.7475025102048,580.1417231719009,0.3544199464248918,0.3173294869153101
QSO,1.9,2.0,22307,128.44496968936713,124.29755872417537,488.41979194876944,485.561858149466,0.35414892186309227,0.3182857399022728
QSO,2.0,2.1,29247,119.67548825410172,114.96776319926317,568.8717418505873,573.4337429219066,0.32823879372243303,0.3316579478237084
