tag,N,N_p,N_n
LRG_0.4_1.1,207651,104233,103418
LRG_0.4_0.5,22137,11235,10902
LRG_0.5_0.6,29570,14874,14696
LRG_0.6_0.7,35593,17863,17730
LRG_0.7_0.8,40449,20424,20025
LRG_0.8_0.9,40561,20275,20286
LRG_0.9_1.0,27244,13537,13707
LRG_1.0_1.1,12097,6025,6072
ELG_0.8_1.6,481085,240620,240465
ELG_0.8_0.9,72185,36207,35978
ELG_0.9_1.0,84756,42460,42296
ELG_1.0_1.1,72966,36661,36305
ELG_1.1_1.2,65846,32687,33159
ELG_1.2_1.3,59131,29662,29469
ELG_1.3_1.4,53176,26387,26789
ELG_1.4_1.5,45730,22956,22774
ELG_1.5_1.6,27295,13600,13695
QSO_0.8_2.1,252633,127486,125147
QSO_0.8_0.9,9416,4846,4570
QSO_0.9_1.0,11381,5770,5611
QSO_1.0_1.1,13868,7032,6836
QSO_1.1_1.2,16694,8418,8276
QSO_1.2_1.3,17523,8807,8716
QSO_1.3_1.4,18232,9224,9008
QSO_1.4_1.5,19090,9575,9515
QSO_1.5_1.6,20042,10093,9949
QSO_1.6_1.7,25251,12744,12507
QSO_1.7_1.8,25317,12809,12508
QSO_1.8_1.9,24265,12008,12257
QSO_1.9_2.0,22307,11083,11224
QSO_2.0_2.1,29247,15077,14170
